,Title,IMDB_ID,Date_of_Release,Genre,Cast,Plot summary,IMDB Rating,IMDB Votes,Released_Year
3150,Khaan Dost,['0215898'],23 Mar 1976,"Action, Crime, Drama","Raj Kapoor, Shatrughan Sinha, Mithu Mukherjee, Yogeeta Bali","Naive, simple-minded Ramdin Pandey lives a poor lifestyle in Nasik, India, along with his sister, Shanti, and works as a Havaldar in the Nasik Central Jail. He arranges Shanti's marriage ...",5.6,38,1976
3151,Hiraasat,['1002683'],N/A,"Action, Crime, Drama","Hema Malini, Shatrughan Sinha, Mithun Chakraborty, Prem Chopra","Assistant Commissioner of Police Ashok Saxena lives a middle-classed lifestyle along with his wife, Shobha, a former street dancer; and a younger college-going brother, Rajesh. His father ...",5.1,19,1987
3152,Ayaash,['0268162'],15 Oct 1982,Romance,"Sanjeev Kumar, Rati Agnihotri, Arun Govil","While most of his countrymen are busy protesting the British rule, Thakur Jaswant Singh chooses to live a carefree life. He hires a personal photographer who soon becomes the reason for his downfall.",6.0,34,1982
3153,Insaan,['0155759'],25 Jun 1982,"Action, Drama, Family","Jeetendra, Vinod Khanna, Reena Roy, Amjad Khan","Shankar lives with his stepmother and stepbrothers who ill-treat him. When they fall on tough times, they want to take away all that Shankar has earned.",5.4,29,1982
3154,Hasti,['0481107'],21 May 1993,Action,"Jackie Shroff, Naseeruddin Shah, Nagma","Narang is an accomplished and wealthy industrialist who lives with his daughter, Neena, in a palatial home. His daughter is now of marriageable age, and he would like her to marry his associate's, Bhisham, son, Vicky. But Neena is in",4.8,37,1993
3155,Bhabhi Ki Chudiyan,['0138323'],N/A,"Drama, Family","Balraj Sahni, Meena Kumari, Sailesh Kumar, Seema Deo","Geeta (Meena Kumari) is married to Shyam (Balraj Sahni) but is unable to bear children. She also looks after her younger brother-in-law, Mohan (Sailesh Kumar). Their happy family gets an ...",5.3,31,1961
3156,Man Mandir,['0157964'],N/A,"Drama, Family","Waheeda Rehman, Sanjeev Kumar, Sudesh Kumar, David Abraham","Deepak and his sister Laxmi struggle to survive due to lack of money till they meet Krishna. However, things take a drastic turn when Deepak's wife Krishna dies leaving behind a child.",5.2,32,1971
3157,Shehzaade,['0359965'],20 Oct 1989,Action,"Dharmendra, Shatrughan Sinha, Sameer Khakhar","After witnessing the assassination of his parents by Thakur Hakim Singh, Laakhan Singh and Roshan Singh; Captain Zorawar Singh from the Indian army takes aid in Gauri's house and consume an...",4.5,21,1989
3158,Mera Haque,['0361904'],N/A,Action,"Sanjay Dutt, Anita Raj, Gulshan Grover","Aristocratic Amar Singh is the heir to his princely estate, left behind by late father, who had re-married a cruel and calculating woman, Ranimaa, and has been mismanaging the estate for her own personal gain, with the help of her br",4.7,38,1986
3159,Zindagi Tere Naam,['2164702'],16 Mar 2012,Romance,"Mithun Chakraborty, Ranjeeta Kaur, Priyanka Mehta","Mr. Singh, an elderly gentleman, relates to his wife, whose memory is fading, the story of two lovers. In the story, the lovers face great difficulties but eventually emerge victorious.",4.4,35,2012
3160,Hoshiyar,['0257763'],09 Jan 1985,"Action, Comedy, Drama","Jeetendra, Shatrughan Sinha, Asrani","Sitadevi lives a comfortable life with her husband and two sons, Rakesh and Rajesh. While celebrating the birth of one of her son's, her husband gets killed in an automobile accident, and his friends, Dhartiraj and Malpani capricious",4.6,33,1985
3161,Utthaan,['0489582'],13 Oct 2006,"Drama, Romance, Thriller","Priyanshu Chatterjee, Neha Dhupia, Rana Jung Bahadur, Sudesh Berry","The dashing and sincere host of reality TV series 'Rubaru', Prashant Bharti meets 'Miss Mumbai' beauty contest winner, Kiran Talreja, and both fall in love. Kiran does not make it as 'Miss ...",4.3,30,2006
3162,Aulad Ke Dushman,['0231197'],03 Dec 1993,Drama,"Vikas Anand, Harbans Darshan M. Arora, Raj Babbar, Kishore Anand Bhanushali","Rajan K. Choudhry is a wealthy industrialist. He lives in a palatial house with his older brother, and only son, Vikram. Vikram is a womanizer, alcoholic, and late party-goer, who has been ...",3.8,36,1993
3163,Dil Bechara Pyaar Ka Maara,['0432506'],N/A,"Comedy, Romance","Vikaas Kalantari, Aslam Khan, Divya Palat","Loosely based on the 1957 classic ""Dekh Kabira Roya"", this is a story of three male friends, Deepak, Vinod and Sanjay. While Sanjay runs a business; Vinod is an ardent cricket fan and player; and Deepak a singer. The three pals meet ",5.4,53,2004
